Messier;NGC;Object type / Type d'objet;Season / Saison;Magnitude;Constellation (EN);Constellation (FR);Constellation (Latin);RA (Right Ascension);Dec (Declinaison);Distance (l.y / a. l.);Size / Dimensions;Discoverer / Découvreur;Year / Année;Image;URL de l'image;Constellation
M48;NGC 2548;Open Cluster / Amas Ouvert;Winter / Hiver;5;Hydra, Sea Snake;Hydre;Hydra;08:13:43.18;-05:45:01.6;1500;42';Messier;1771;http://www.lasam.ca/messier/M048.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/e8265fa1084e9c84c45892bc7bf6c67e;Hya
M31;NGC 224;Galaxy / Galaxie;Autumn / Automne;3;Andromeda;Andromède;Andromeda;00:42:44.35;+41:16:08.6;2500000;180,0' x 63,0';;;http://www.lasam.ca/messier/M031.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/8b09c0b962eacd7c73b3654173640a72;And
M104;NGC 4594;Galaxy / Galaxie;Spring / Printemps;8;Crow;Corbeau;Corvus;12:39:59.43;-11:37:23.0;40000000;8,9' x 4,1';Méchain;1781;http://www.lasam.ca/messier/M104.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/98ca6645bb15fb146eb24174c1385fe0;Crv
M105;NGC 3379;Galaxy / Galaxie;Spring / Printemps;9;Lion;Lion;Leo;10:47:49.59;+12:34:53.8;21500000;4,5' x 4,0';Méchain;1781;http://www.lasam.ca/messier/M105.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/980658767f5f4f8f0257e06b67164cdd;Leo
M96;NGC 3368;Galaxy / Galaxie;Spring / Printemps;9;Lion;Lion;Leo;10:46:45.74;+11:49:11.8;29300000;7,1' x 5,1';Méchain;1781;http://www.lasam.ca/messier/M096.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/1bd1d0aa2825496929c004902ef49884;Leo
M16;NGC 6611;Emission Nebula / Nébuleuse à émission;Summer / Été;6;;;;18:18:48.17;-13:48:26.0;5870;25,0';Chéseaux;1746;http://www.lasam.ca/messier/M016.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/815eebcc7d91f614254397f70ef9f3ed;Se2
M4;NGC 6121;Globular Cluster / Amas Globulaire;Summer / Été;5;Scorpion;Scorpion;Scorpius;16:23:35.40;-26:31:31.9;9900;22,8';Chéseaux;1746;http://www.lasam.ca/messier/M004.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/9e84672c59018c447a8a2b69bd0b00b5;Sco
M15;NGC 7078;Globular Cluster / Amas Globulaire;Autumn / Automne;6;Winged Horse;Pégase;Pegasus;21:29:58.38;+12:10:00.6;49500;12,3';Maraldi;1746;http://www.lasam.ca/messier/M015.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/28bacad1602d1b9a95f5586e8b74ce3e;Peg
M18;NGC 6613;Open Cluster / Amas Ouvert;Summer / Été;6;Archer;Sagittaire;Sagittarius;18:19:58.49;-17:06:07.1;4900;9,0';Messier;1764;http://www.lasam.ca/messier/M018.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/86787116516b785cd0f19c05813f27cd;Sgr
M21;NGC 6531;Open Cluster / Amas Ouvert;Summer / Été;5;Archer;Sagittaire;Sagittarius;18:04:13.45;-22:29:24.2;4200;13,0';Messier;1764;http://www.lasam.ca/messier/M021.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/75a5abb0615e1a26f50db284646060b8;Sgr
M35;NGC 2168;Open Cluster / Amas Ouvert;Winter / Hiver;5;Twins;Les Gémeaux;Gemini;06:09:05.06;+24:20:19.1;2800;30,0';Chéseaux;1746;http://www.lasam.ca/messier/M035.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/467bb231afdb84b7ef8e4e8238e12759;Gem
M51;NGC 5194;Galaxy / Galaxie;Spring / Printemps;8;Hound Dogs;Les Chiens de chasse;Canes Venatici;13:29:52.71;+47:11:42.6;37000000;11,0' x 7,8';Messier;1773;http://www.lasam.ca/messier/M051.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/4351888ecb69e0401039ec50877e4855;CVn
M73;NGC 6994;Open Cluster / Amas Ouvert;Autumn / Automne;9;Water Bearer;Verseau;Aquarius;20:58:55.97;-12:38:07.8;;2,8';Messier;1780;http://www.lasam.ca/messier/M073.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/416f765b2cb6fe7cd6389c342fb72f51;Aqr
M77;NGC 1068;Galaxy / Galaxie;Autumn / Automne;8;Sea-monster;Baleine;Cetus;02:42:40.71;-00:00:47.8;52000000;6,9' x 5,9';Méchain;1780;http://www.lasam.ca/messier/M077.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/34ce13fe62859221f213c499054a1556;Cet
M78;NGC 2068;Reflection Nebula / Nébuleuse à réflexion;Winter / Hiver;8;Orion, Hunter;Orion;Orion;05:46:45.82;+00:04:45.5;1630;8,0' x 6,0';Méchain;1780;http://www.lasam.ca/messier/M078.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/2946d192d55227c94562066d2ed4cac5;Ori
M82;NGC 3034;Galaxy / Galaxie;Spring / Printemps;8;Big Bear;Grande Ourse;Ursa Major;09:55:52.73;+69:40:45.8;8500000;11,0' x 4,6';Bode;1774;http://www.lasam.ca/messier/M082.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/a698c2b1317900b12c47e040eb93e70c;UMa
M88;NGC 4501;Galaxy / Galaxie;Spring / Printemps;9;Hair of Berenice;Chevelure de Bérénice;Coma Berenices;12:31:59.16;+14:25:13.4;41000000;6,9' x 3,9';Messier;1781;http://www.lasam.ca/messier/M088.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/3df1ec0bba598bdb4129a52cd48190bb;Com
M69;NGC 6637;Globular Cluster / Amas Globulaire;Summer / Été;7;Archer;Sagittaire;Sagittarius;18:31:23.23;-32:20:52.7;23500;3,8';Lacaille;1751;http://www.lasam.ca/messier/M069.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/779df16a61fc20ffff7104d9e4c60a05;Sgr
M57;NGC 6720;Planetary Nebula / Nébuleuse Planétaire;Summer / Été;9;Lyre;Lyre;Lyra;18:53:35.01;+33:01:42.9;1410;71'';Darquier;1779;http://www.lasam.ca/messier/M057.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/472ec85e2d24785c404bce9bc6992a4e;Lyr
M66;NGC 3627;Galaxy / Galaxie;Spring / Printemps;9;Lion;Lion;Leo;11:20:14.96;+12:59:29.5;29000000;8,7' x 4,4';Méchain;1780;http://www.lasam.ca/messier/M066.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/4c175ed819a386ed3a413b0091f24581;Leo
M44;NGC 2632;Open Cluster / Amas Ouvert;Spring / Printemps;3;Crab;Cancer;Cancer;08:40:22.20;+19:40:19.4;520;70,0';;;http://www.lasam.ca/messier/M044.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/d4caf3578fb228161b3065e9d37cc2b2;Cnc
M100;NGC 4321;Galaxy / Galaxie;Spring / Printemps;9;Hair of Berenice;Chevelure de Bérénice;Coma Berenices;12:22:54.83;+15:49:18.5;41000000;6,9' x 6,2';Méchain;1781;http://www.lasam.ca/messier/M100.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/0b5669eb3e06461e8bf429b734717e0d;Com
M72;NGC 6981;Globular Cluster / Amas Globulaire;Autumn / Automne;9;Water Bearer;Verseau;Aquarius;20:53:27.91;-12:32:13.4;62000;5,1';Méchain;1780;http://www.lasam.ca/messier/M072.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/7038bdf46b99d2351020ebaab7450c88;Aqr
M3;NGC 5272;Globular Cluster / Amas Globulaire;Spring / Printemps;6;Hound Dogs;Les Chiens de chasse;Canes Venatici;13:42:11.23;+28:22:31.6;48500;18,6';Messier;1764;http://www.lasam.ca/messier/M003.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/fd1a521c7991b13865e64a87cba3d496;CVn
M7;NGC 6475;Open Cluster / Amas Ouvert;Summer / Été;3;Scorpion;Scorpion;Scorpius;17:53:51.18;-34:47:34.2;780;30,0';Ptolémée;;http://www.lasam.ca/messier/M007.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/b2950d9724ec8f480da8b4c0d5d5f48b;Sco
M5;NGC 5904;Globular Cluster / Amas Globulaire;Spring / Printemps;5;;;;15:18:33.75;+02:04:57.7;24800;19,9';Kirch;1702;http://www.lasam.ca/messier/M005.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/7370eb11bf12646584c5e5357cc2556b;Se1
M39;NGC 7092;Open Cluster / Amas Ouvert;Autumn / Automne;4;Swan;Cygne;Cygnus;21:31:48.32;+48:26:17.4;880;32,0';Le Gentil;1750;http://www.lasam.ca/messier/M039.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/71502ac0261783ada7c258f818ef13ee;Cyg
M29;NGC 6913;Open Cluster / Amas Ouvert;Summer / Été;6;Swan;Cygne;Cygnus;20:23:57.77;+38:30:27.6;4100;7,0';Messier;1764;http://www.lasam.ca/messier/M029.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/320893eb15e78189e7c72cd38d807c23;Cyg
M107;NGC 6171;Globular Cluster / Amas Globulaire;Summer / Été;8;Serpent Holder;Ophiuchus;Ophiuchus;16:32:31.92;-13:03:13.1;19200;7,8';Méchain;1782;http://www.lasam.ca/messier/M107.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/f309fd24fe9cf7fc97aad714d940508e;Oph
M108;NGC 3556;Galaxy / Galaxie;Spring / Printemps;10;Big Bear;Grande Ourse;Ursa Major;11:11:30.97;+55:40:26.8;23500000;8,3' x 2,5';Méchain;1782;http://www.lasam.ca/messier/M108.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/5403cbb65a974f52aea06e01e8efabea;UMa
